week,knn_acc,random_forest_acc,log_reg_acc,cumulative_accuracy,runtime_sec
0,0.5806451612903226,0.5806451612903226,0.5806451612903226,0.5806451612903226,25.334678649902344
1,0.6812126779972439,0.7294441892512632,0.7395498392282959,0.7148248792270532,25.564699172973633
2,0.6739715494040753,0.7370242214532872,0.7351018838908112,0.7151174880432523,25.424200773239136
3,0.6824862216778934,0.7308634415186773,0.7372933251684017,0.7158307533539732,23.7221736907959
4,0.6799634591961023,0.7551766138855055,0.7713154689403167,0.721513043988614,22.59275245666504
5,0.6877828054298643,0.7684080625257096,0.7564788153023447,0.7243413101281122,25.142066955566406
6,0.659877800407332,0.7141887304820095,0.7423625254582484,0.7210205544933078,26.239128828048706
7,0.6406660823838738,0.6950043821209465,0.7151621384750219,0.7186328802371763,22.02506113052368
