address,city,country,district,division_keys,end_date,event_code,event_type,event_type_string,first_event_code,first_event_id,gmaps_place_id,gmaps_url,key,lat,lng,location_name,name,parent_event_key,playoff_type,playoff_type_string,postal_code,remap_teams,short_name,start_date,state_prov,timezone,webcasts,website,week,year
"6755 Sheldon Rd, Rochester Hills, MI 48306, USA",Rochester Hills,USA,"{'abbreviation': 'fim', 'display_name': 'FIRST in Michigan', 'key': '2022fim', 'year': 2022}",[],2022-03-12,miroc,1,District,miroc,,ChIJTd5DGv7oJIgRZ9H0jF99zS0,"https://maps.google.com/?q=6755+Sheldon+Rd,+Rochester+Hills,+MI+48306,+USA&ftid=0x8824e8fe1a43de4d:0x2dcd7d5f8cf4d167",2022miroc,42.7000249,-83.1206665,6755 Sheldon Rd,FIM District Rochester Event presented by Aptiv,,0.0,,48306,,Rochester,2022-03-10,MI,America/Detroit,"[{'channel': 'firstinspires22', 'type': 'twitch'}]",https://www.firstinmichigan.org/,1.0,2022
"1001 S Barnes St, Mason, MI 48854, USA",Mason,USA,,[],2022-08-07,mirr,99,Offseason,,,ChIJHf0B-gDQIogRWDx3YpO4CCA,https://maps.google.com/?cid=2308297752179063896,2022mirr,42.57088600000001,-84.4353129,Mason High School,Rainbow Rumble,,,,48854,,,2022-08-05,MI,America/Detroit,"[{'channel': 'oN_cuxYYkeQ', 'type': 'youtube'}]",https://rainbowrumble.org,,2022
"1300 Campus Pkwy, Ann Arbor, MI 48108, USA",Ann Arbor,USA,"{'abbreviation': 'fim', 'display_name': 'FIRST in Michigan', 'key': '2022fim', 'year': 2022}",[],2022-03-27,misal,1,District,misal,,ChIJM5pyYyalPIgRP5mSTjE1C5Y,"https://maps.google.com/?q=1300+Campus+Pkwy,+Ann+Arbor,+MI+48108,+USA&ftid=0x883ca52663729a33:0x960b35314e92993f",2022misal,42.18848,-83.7501255,1300 Campus Pkwy,FIM District Saline Event presented by DTE,,0.0,,48108,,Saline,2022-03-25,MI,America/Detroit,"[{'channel': 'firstinspires21', 'type': 'twitch'}]",https://www.firstinmichigan.org/,3.0,2022
"2521 Stadium Dr, St Joseph, MI 49085, USA",St. Joseph,USA,"{'abbreviation': 'fim', 'display_name': 'FIRST in Michigan', 'key': '2022fim', 'year': 2022}",[],2022-03-12,misjo,1,District,misjo,,ChIJc2KhkA7EEIgRG1626j_RXPk,"https://maps.google.com/?q=2521+Stadium+Dr,+St+Joseph,+MI+49085,+USA&ftid=0x8810c40e90a16273:0xf95cd13feab65e1b",2022misjo,42.0896318,-86.49270539999999,2521 Stadium Dr,FIM District St. Joseph Event presented by Whirlpool,,0.0,,49085,,St. Joseph,2022-03-10,MI,America/Detroit,"[{'channel': 'firstinspires23', 'type': 'twitch'}]",http://www.firstinmichigan.org,1.0,2022
"4333 John R Rd, Troy, MI 48085, USA",Troy,USA,"{'abbreviation': 'fim', 'display_name': 'FIRST in Michigan', 'key': '2022fim', 'year': 2022}",[],2022-04-02,mitry,1,District,mitry,,ChIJk2JyLWPDJIgR7qrsHnpn02U,"https://maps.google.com/?q=4333+John+R+Rd,+Troy,+MI+48085,+USA&ftid=0x8824c3632d726293:0x65d3677a1eecaaee",2022mitry,42.5816012,-83.1109446,4333 John R Rd,FIM District Troy Event presented by Magna,,0.0,,48085,,Troy,2022-03-31,MI,America/Detroit,"[{'channel': 'firstinspires24', 'type': 'twitch'}]",http://www.firstinmichigan.org,4.0,2022
"5376 N Long Lake Rd, Traverse City, MI 49685, USA",Traverse City,USA,"{'abbreviation': 'fim', 'display_name': 'FIRST in Michigan', 'key': '2022fim', 'year': 2022}",[],2022-04-09,mitvc,1,District,mitvc,,ChIJ212xa4oxHogRNwDLV1WOypI,"https://maps.google.com/?q=5376+N+Long+Lake+Rd,+Traverse+City,+MI+49685,+USA&ftid=0x881e318a6bb15ddb:0x92ca8e5557cb0037",2022mitvc,44.7471804,-85.6857011,5376 N Long Lake Rd,FIM District Traverse City Event,,0.0,,49685,,Traverse City,2022-04-07,MI,America/Detroit,"[{'channel': 'firstinspires22', 'type': 'twitch'}]",http://www.firstinmichigan.org,5.0,2022
"1600 Oakley Park Rd, Commerce Charter Twp, MI 48390, USA",Commerce Charter Township,USA,"{'abbreviation': 'fim', 'display_name': 'FIRST in Michigan', 'key': '2022fim', 'year': 2022}",[],2022-04-10,miwal,1,District,miwal,,ChIJecwLUFCkJIgRfpnsj_iZK5Q,"https://maps.google.com/?q=1600+Oakley+Park+Rd,+Commerce+Charter+Twp,+MI+48390,+USA&ftid=0x8824a450500bcc79:0x942b99f88fec997e",2022miwal,42.5685018,-83.4728571,1600 Oakley Park Rd,FIM District Walled Lake Event presented by Magna,,0.0,,48390,,Walled Lake,2022-04-08,MI,America/Detroit,"[{'channel': 'firstinspires24', 'type': 'twitch'}]",https://www.firstinmichigan.org/,5.0,2022
"10915 N Campus Dr, Allendale, MI 49401, USA",Allendale Charter Township,USA,"{'abbreviation': 'fim', 'display_name': 'FIRST in Michigan', 'key': '2022fim', 'year': 2022}",[],2022-03-26,miwmi,1,District,miwmi,,ChIJxxiB9h-jGYgRI5OEwb5buaQ,https://maps.google.com/?cid=11869619167760257827,2022miwmi,42.9668887,-85.8897631,Recreation Center,FIM District West Michigan Event,,0.0,,49401,,West Michigan,2022-03-24,MI,America/Detroit,"[{'channel': 'firstinspires23', 'type': 'twitch'}]",http://www.firstinmichigan.org,3.0,2022
"24787 Van Horn Rd, Brownstown Charter Twp, MI 48134, USA",Brownstown Charter Township,USA,"{'abbreviation': 'fim', 'display_name': 'FIRST in Michigan', 'key': '2022fim', 'year': 2022}",[],2022-04-10,miwoo,1,District,miwoo,,ChIJOXQ6pag4O4gR8YUi7nVjfxU,https://maps.google.com/?cid=1549066154996303345,2022miwoo,42.1223878,-83.27175969999999,Woodhaven High School,FIM District Woodhaven Event presented by Ford,,0.0,,48134,,Woodhaven,2022-04-08,MI,America/Detroit,"[{'channel': 'firstinspires21', 'type': 'twitch'}]",https://www.firstinmichigan.org/,5.0,2022
"1350 Prairie Pkwy SW, Wyoming, MI 49509, USA",Wyoming,USA,,[],2022-10-08,miwyo,99,Offseason,miwyo,,ChIJgaAQv66xGYgR-sw09Q0-LJg,https://maps.google.com/?cid=10965207422409690362,2022miwyo,42.9097046,-85.69881749999999,Wyoming High School,Grand Rapids Girls Robotics Competition,,,,49509,,,2022-10-07,MI,America/Detroit,[],https://girlsrobotics.org/,,2022
"7575 150th St W, Savage, MN 55378, USA",Savage,USA,,[],2022-11-19,mmr,99,Offseason,,,ChIJwZk14Co89ocRnbR-o0lJyGo,https://maps.google.com/?cid=7694480543986922653,2022mmr,44.7285078,-93.3783148,Prior Lake High School,Minne Mini Regional,,,,55378,,,2022-11-19,MN,America/Chicago,[],http://www.kingtec2169.com,,2022
"350 Harbor Dr, Duluth, MN 55802, USA",Duluth,USA,,[],2022-03-05,mndu,0,Regional,mndu,,ChIJaTNyg5NSrlIRB45Mfkoq8Oc,https://maps.google.com/?cid=16712904716606803463,2022mndu,46.78150549999999,-92.09795369999999,Duluth Entertainment Convention Center,Lake Superior Regional,,0.0,,55802,,Lake Superior,2022-03-02,MN,America/Chicago,"[{'channel': 'firstinspires5', 'type': 'twitch'}, {'channel': 'firstinspires6', 'type': 'twitch'}]",http://www.mnfirst.org,0.0,2022
"350 Harbor Dr, Duluth, MN 55802, USA",Duluth,USA,,[],2022-03-05,mndu2,0,Regional,mndu2,,ChIJaTNyg5NSrlIRB45Mfkoq8Oc,https://maps.google.com/?cid=16712904716606803463,2022mndu2,46.78150549999999,-92.09795369999999,Duluth Entertainment Convention Center,Northern Lights Regional,,0.0,,55802,,Northern Lights,2022-03-02,MN,America/Chicago,"[{'channel': 'firstinspires3', 'type': 'twitch'}, {'channel': 'firstinspires4', 'type': 'twitch'}]",http://www.mnfirst.org,0.0,2022
"301 N 40th Ave E, Duluth, MN 55804, USA",Duluth,USA,,[],2022-07-16,mngggt,99,Offseason,,,ChIJwyNDrJisr1IRzViuvwXr1Oo,https://maps.google.com/?cid=16921408109861034189,2022mngggt,46.8242543,-92.0433441,Duluth East High School,Gitchi Gummi Get Together,,0.0,,55804,,,2022-07-15,MN,America/Chicago,[],https://daredevils2512.org/gitchi-gummi-get-together,,2022
"1925 University Ave SE, Minneapolis, MN 55455, USA",Minneapolis,USA,,[],2022-04-09,mnmi,0,Regional,mnmi,,ChIJm9Bpmxkts1IRgJV4wZ0g8gQ,"https://maps.google.com/?q=1925+University+Ave+SE,+Minneapolis,+MN+55455,+USA&ftid=0x52b32d199b69d09b:0x4f2209dc1789580",2022mnmi,44.9770901,-93.2283819,1925 University Ave SE,"Minnesota 10,000 Lakes Regional presented by Medtronic",,0.0,,55455,,"Minnesota 10,000 Lakes",2022-04-06,MN,America/Chicago,"[{'channel': 'firstinspires10', 'type': 'twitch'}, {'channel': 'firstinspires9', 'type': 'twitch'}]",http://www.mnfirst.org,5.0,2022
"1901 4th St SE, Minneapolis, MN 55455, USA",Minneapolis,USA,,[],2022-04-09,mnmi2,0,Regional,mnmi2,,ChIJlxYc1Bsts1IRWDKAmJXi3QQ,https://maps.google.com/?cid=350685478141309528,2022mnmi2,44.978017,-93.2280612,3M Arena at Mariucci,Minnesota North Star Regional,,0.0,,55455,,Minnesota North Star,2022-04-06,MN,America/Chicago,"[{'channel': 'firstinspires11', 'type': 'twitch'}, {'channel': 'firstinspires12', 'type': 'twitch'}]",http://www.mnfirst.org,5.0,2022
