team_id,matches_played,wins,win_rate
frc254,405,368,0.908641975308642
frc2056,574,502,0.8745644599303136
frc1678,563,492,0.8738898756660746
frc1323,424,363,0.8561320754716981
frc9496,171,146,0.8538011695906432
frc118,722,611,0.8462603878116344
frc4414,333,281,0.8438438438438438
frc1833,63,52,0.8253968253968254
frc9483,89,73,0.8202247191011236
frc330,207,169,0.8164251207729468
frc7498,63,51,0.8095238095238095
frc2481,424,343,0.8089622641509434
frc1690,526,424,0.8060836501901141
frc2910,616,495,0.8035714285714286
frc148,567,452,0.7971781305114638
frc1619,392,312,0.7959183673469388
frc7285,99,78,0.7878787878787878
frc2767,596,469,0.7869127516778524
frc9609,75,59,0.7866666666666666
frc225,287,223,0.7770034843205574
