week,event_key,model,num_matches,accuracy
0,2025week0,lightgbm,31,0.5161290322580645
0,2025week0,log_reg,31,0.5483870967741935
0,2025week0,xgboost,31,0.5806451612903226
1,2025bcvi,lightgbm,96,0.8333333333333334
1,2025bcvi,log_reg,96,0.8125
1,2025bcvi,xgboost,96,0.8541666666666666
1,2025camb,lightgbm,85,0.6941176470588235
1,2025camb,log_reg,85,0.6941176470588235
1,2025camb,xgboost,85,0.6823529411764706
1,2025caoc,lightgbm,94,0.8191489361702128
1,2025caoc,log_reg,94,0.8085106382978723
1,2025caoc,xgboost,94,0.7978723404255319
1,2025caph,lightgbm,92,0.717391304347826
1,2025caph,log_reg,92,0.7282608695652174
1,2025caph,xgboost,92,0.7065217391304348
1,2025gagai,lightgbm,79,0.8481012658227848
1,2025gagai,log_reg,79,0.8227848101265823
1,2025gagai,xgboost,79,0.8354430379746836
1,2025inmis,lightgbm,87,0.7816091954022989
1,2025inmis,log_reg,87,0.7586206896551724
1,2025inmis,xgboost,87,0.7701149425287356
1,2025isde1,lightgbm,73,0.7808219178082192
1,2025isde1,log_reg,73,0.7534246575342466
1,2025isde1,xgboost,73,0.7671232876712328
1,2025isde2,lightgbm,82,0.7317073170731707
1,2025isde2,log_reg,82,0.7317073170731707
1,2025isde2,xgboost,82,0.7195121951219512
1,2025mefal,lightgbm,75,0.7466666666666667
1,2025mefal,log_reg,75,0.76
1,2025mefal,xgboost,75,0.7733333333333333
1,2025mibat,lightgbm,91,0.7252747252747253
1,2025mibat,log_reg,91,0.7142857142857143
1,2025mibat,xgboost,91,0.7032967032967034
1,2025mifer,lightgbm,95,0.7789473684210526
1,2025mifer,log_reg,95,0.7684210526315789
1,2025mifer,xgboost,95,0.7789473684210526
1,2025miket,lightgbm,95,0.8210526315789474
1,2025miket,log_reg,95,0.8105263157894737
1,2025miket,xgboost,95,0.8421052631578947
1,2025milac,lightgbm,90,0.7222222222222222
1,2025milac,log_reg,90,0.7111111111111111
1,2025milac,xgboost,90,0.7333333333333333
1,2025mimil,lightgbm,94,0.648936170212766
1,2025mimil,log_reg,94,0.648936170212766
1,2025mimil,xgboost,94,0.648936170212766
1,2025mndu,lightgbm,96,0.7395833333333334
1,2025mndu,log_reg,96,0.7395833333333334
1,2025mndu,xgboost,96,0.71875
1,2025mndu2,lightgbm,96,0.7916666666666666
1,2025mndu2,log_reg,96,0.7916666666666666
1,2025mndu2,xgboost,96,0.8020833333333334
1,2025mxmo,lightgbm,87,0.7126436781609196
1,2025mxmo,log_reg,87,0.7586206896551724
1,2025mxmo,xgboost,87,0.7586206896551724
