week,log_reg_acc,xgboost_acc,lightgbm_acc,runtime_sec
0,0.5806451612903226,0.5806451612903226,0.5806451612903226,173.2630376815796
1,0.7390904915020671,0.7487367937528709,0.7537896187413873,589.1247963905334
2,0.7354863514033064,0.7447135717031911,0.7547097270280662,608.7076127529144
3,0.7428046540110227,0.7526025719534599,0.758420085731782,524.1803946495056
4,0.7707064555420219,0.7719244823386114,0.7624847746650426,523.704910993576
5,0.7540106951871658,0.7725215960510078,0.7725215960510078,548.0414824485779
6,0.743041412084182,0.7393075356415478,0.7382892057026477,807.9760203361511
7,0.7212971078001753,0.6932515337423313,0.6993865030674846,925.8623557090759
